id_equipo,jugador
ATL,"Chris Paul"
ATL,"Bismack Biyombo"
ATL,"Kentavious Caldwell-Pope"
ATL,"JaMychal Green"
ATL,"Willie Cauley-Stein"
ATL,"Terry Rozier"
ATL,"Josh Okogie"
ATL,"Bruce Brown"
BOS,"Robin Lopez"
BOS,"Derrick Rose"
BOS,"Jonas Jerebko"
BOS,"Alec Burks"
BOS,"Hassan Whiteside"
BOS,"Austin Rivers"
BOS,"Kyle OQuinn"
BOS,"Nemanja Bjelica"
BOS,"Giannis Antetokounmpo"
BOS,"Derrick Jones"
BOS,"Lonzo Ball"
BRO,"DeAndre Jordan"
BRO,"Brook Lopez"
BRO,"Jeff Teague"
BRO,"Ricky Rubio"
BRO,"Bojan Bogdanovic"
BRO,"Jerian Grant"
BRO,"Ben Simmons"
BRO,"Royce ONeale"
BRO,"Antonius Cleveland"
BRO,"Zach Collins"
BRO,"Bruno Caboclo"
CHA,"Kemba Walker"
CHA,"Bradley Beal"
CHA,"Tony Snell"
CHA,"T.J. Warren"
CHA,"Larry Nance"
CHA,"Richaun Holmes"
CHA,"Yogi Ferrell"
CHA,"Juan Hernangomez"
CHA,"Kyle Kuzma"
CHA,"Jordan Bell"
CHA,"Furkan Korkmaz"
CHI,"Gerald Green"
CHI,"Vince Carter"
CHI,"JaVale McGee"
CHI,"James Harden"
CHI,"Al-Farouq Aminu"
CHI,"Anthony Davis"
CHI,"Meyers Leonard"
CHI,"Norman Powell"
CHI,"Fred VanVleet"
CHI,"Pascal Siakam"
CHI,"OG Anunoby"
CLE,"Wayne Ellington"
CLE,"Garrett Temple"
CLE,"Dion Waiters"
CLE,"Will Barton"
CLE,"Seth Curry"
CLE,"Khem Birch"
CLE,"Karl-Anthony Towns"
CLE,"Jake Layman"
CLE,"Luka Doncic"
CLE,"Jaren Jackson Jr."
CLE,"Mitchell Robinson"
CLE,"Isaiah Hartenstein"
DAL,"Danilo Gallinari"
DAL,"Rudy Gay"
DAL,"Cody Zeller"
DAL,"Dante Exum"
DAL,"Clint Capela"
DAL,"Justise Winslow"
DAL,"Mario Hezonja"
DAL,"Pat Connaughton"
DAL,"Delon Wright"
DAL,"Tyus Jones"
DAL,"Kevon Looney"
DAL,"Dejounte Murray"
DAL,"Thomas Bryant"
DAL,"Collin Sexton"
DEN,"LeBron James"
DEN,"Kyle Korver"
DEN,"DeMarre Carroll"
DEN,"Kyrie Irving"
DEN,"Miles Plumlee"
DEN,"Steven Adams"
DEN,"Andre Roberson"
DEN,"Jamal Murray"
DEN,"Skal Labissiere"
DEN,"Jayson Tatum"
DEN,"Josh Hart"
DEN,"Luke Kennard"
DEN,"Ivan Rabb"
DET,"Avery Bradley"
DET,"Kenneth Faried"
DET,"C.J. McCollum"
DET,"Josh Richardson"
DET,"DAngelo Russell"
DET,"Jakob Poeltl"
DET,"Josh Jackson"
DET,"Sterling Brown"
DET,"DeAndre Ayton"
DET,"Marvin Bagley"
DET,"Kevin Knox"
DET,"Sviatoslav Mykhailiuk"
DET,"Shake Milton"
GSW,"Luol Deng"
GSW,"Jrue Holiday"
GSW,"Damian Lillard"
GSW,"Rudy Gobert"
GSW,"Davis Bertans"
GSW,"Ivica Zubac"
GSW,"Cheick Diallo"
GSW,"Jonathan Isaac"
GSW,"Bogdan Bogdanovic"
GSW,"Caleb Swanigan"
GSW,"Cedi Osman"
HOU,"Marvin Williams"
HOU,"Taj Gibson"
HOU,"Serge Ibaka"
HOU,"Tobias Harris"
HOU,"Jeremy Lamb"
HOU,"Trey Burke"
HOU,"Alex Len"
HOU,"Spencer Dinwiddie"
HOU,"Cristiano Felicio"
HOU,"Justin Anderson"
HOU,"Derrick White"
HOU,"Mikal Bridges"
HOU,"Miles Bridges"
HOU,"Aaron Holiday"
IND,"Marcin Gortat"
IND,"Dwight Howard"
IND,"Pau Gasol"
IND,"Ish Smith"
IND,"Ed Davis"
IND,"Frank Kaminsky"
IND,"Montrezl Harrell"
IND,"Brandon Ingram"
IND,"Malcolm Brogdon"
IND,"Damyean Dotson"
IND,"Markelle Fultz"
IND,"Kendrick Nunn"
LAC,"Tyson Chandler"
LAC,"Trevor Ariza"
LAC,"Michael Beasley"
LAC,"Patty Mills"
LAC,"Evan Fournier"
LAC,"Dennis Schroder"
LAC,"Shabazz Napier"
LAC,"Jerami Grant"
LAC,"Gary Harris"
LAC,"Stanley Johnson"
LAC,"Christian Wood"
LAC,"Luke Kornet"
LAC,"Kevin Huerter"
LAC,"Grayson Allen"
LAL,"Derrick Favors"
LAL,"Eric Bledsoe"
LAL,"Harrison Barnes"
LAL,"Dewayne Dedmon"
LAL,"Julius Randle"
LAL,"Bryn Forbes"
LAL,"Joel Embiid"
LAL,"Maxi Kleber"
LAL,"Donovan Mitchell"
LAL,"T.J. Leaf"
MEM,"Thaddeus Young"
MEM,"Kawhi Leonard"
MEM,"Terrence Ross"
MEM,"Zach LaVine"
MEM,"Boban Marjanovic"
MEM,"Emmanuel Mudiay"
MEM,"Myles Turner"
MEM,"Domantas Sabonis"
MEM,"Malik Beasley"
MEM,"Omari Spellman"
MEM,"Monte Morris"
MEM,"Kenrich Williams"
MIA,"Nene Hilario"
MIA,"Al Horford"
MIA,"Blake Griffin"
MIA,"Michael Kidd-Gilchrist"
MIA,"Elfrid Payton"
MIA,"Jordan Clarkson"
MIA,"Noah Vonleh"
MIA,"Dragan Bender"
MIA,"Ante Zizic"
MIA,"Rodions Kurucs"
MIA,"Troy Brown"
MIA,"Harry Giles"
MIL,"Jeff Green"
MIL,"D.J. Augustin"
MIL,"C.J. Miles"
MIL,"John Henson"
MIL,"Draymond Green"
MIL,"Michael Carter-Williams"
MIL,"Mike Muscala"
MIL,"Eric Moreland"
MIL,"Kyle Anderson"
MIL,"Jonathon Simmons"
MIL,"Bam Adebayo"
MIL,"Chandler Hutchison"
MIL,"Hamidou Diallo"
MIL,"Jalen Brunson"
MIN,"Andre Iguodala"
MIN,"Etwaun Moore"
MIN,"Jimmy Butler"
MIN,"Kent Bazemore"
MIN,"Kelly Olynyk"
MIN,"Aaron Gordon"
MIN,"Dorian Finney-Smith"
MIN,"Dwayne Bacon"
MIN,"DeAaron Fox"
MIN,"Torrey Craig"
MIN,"Wesley Iwundu"
MIN,"Wendell Carter"
MIN,"Devonte Graham"
MIN,"Keita Bates-Diop"
NOR,"Russell Westbrook"
NOR,"Markieff Morris"
NOR,"Khris Middleton"
NOR,"Joe Ingles"
NOR,"John Collins"
NOR,"Dennis Smith"
NOR,"Mohamed Bamba"
NOR,"Trae Young"
NOR,"Allonzo Trier"
NOR,"Robert Williams"
NOR,"Nicolo Melli"
NYK,"DeMar DeRozan"
NYK,"Enes Kanter"
NYK,"Marcus Smart"
NYK,"Tomas Satoransky"
NYK,"Willy Hernangomez"
NYK,"Danuel House"
NYK,"Jaylen Brown"
NYK,"Georges Niang"
NYK,"Timothe Luwawu-Cabarrot"
NYK,"Henry Ellenson"
NYK,"Caris LeVert"
NYK,"DeAnthony Melton"
OKC,"Stephen Curry"
OKC,"Paul George"
OKC,"Tristan Thompson"
OKC,"Justin Holiday"
OKC,"Matthew Dellavedova"
OKC,"Mason Plumlee"
OKC,"Denzel Valentine"
OKC,"Taurean Prince"
OKC,"Damian Jones"
OKC,"Lauri Markkanen"
OKC,"Malik Monk"
ORL,"Gordon Hayward"
ORL,"Trevor Booker"
ORL,"Brandon Knight"
ORL,"Andre Drummond"
ORL,"Gorgui Dieng"
ORL,"Tyler Johnson"
ORL,"Rondae Hollis-Jefferson"
ORL,"Jordan McRae"
ORL,"Thon Maker"
ORL,"Alfonzo McKinnie"
ORL,"Elie Okobo"
ORL,"Frank Jackson"
ORL,"Moritz Wagner"
PHI,"Ian Mahinmi"
PHI,"Goran Dragic"
PHI,"Joakim Noah"
PHI,"Nicolas Batum"
PHI,"George Hill"
PHI,"Jonas Valanciunas"
PHI,"Rodney Hood"
PHI,"Daniel Theis"
PHI,"Alize Johnson"
PHI,"Gary Clark"
PHI,"Jonah Bolden"
PHI,"Jacob Evans"
PHI,"Terance Mann"
PHI,"Jordan McLaughlin"
PHO,"Mike Conley"
PHO,"Danny Green"
PHO,"James Johnson"
PHO,"Robert Covington"
PHO,"Doug McDermott"
PHO,"Dwight Powell"
PHO,"Nikola Jokic"
PHO,"Patrick McCaw"
PHO,"DeAndre Bembry"
PHO,"Alex Caruso"
PHO,"Jarrett Allen"
PHO,"Chris Boucher"
PHO,"Theo Pinson"
PHO,"Shai Gilgeous-Alexander"
POR,"Rajon Rondo"
POR,"Marc Gasol"
POR,"Aron Baynes"
POR,"Jabari Parker"
POR,"Kristaps Porzingis"
POR,"Bobby Portis"
POR,"Kris Dunn"
POR,"Tyler Ulis"
POR,"David Nwaba"
SAC,"J.J. Redick"
SAC,"LaMarcus Aldridge"
SAC,"Paul Millsap"
SAC,"Lou Williams"
SAC,"Kyle Lowry"
SAC,"Marcus Morris"
SAC,"Trey Lyles"
SAC,"Dario Saric"
SAC,"Facundo Campazzo"
SAC,"Kadeem Allen"
SAC,"Duncan Robinson"
SAC,"Landry Shamet"
SAC,"Vincent Poirier"
SAS,"Thabo Sefolosha"
SAS,"Marco Belinelli"
SAS,"Demarcus Cousins"
SAS,"Reggie Jackson"
SAS,"Jae Crowder"
SAS,"Darius Miller"
SAS,"Devin Booker"
SAS,"Ryan Arcidiacono"
SAS,"Tyrone Wallace"
SAS,"Donte DiVincenzo"
TOR,"Nikola Vucevic"
TOR,"Cory Joseph"
TOR,"Mike Scott"
TOR,"Moe Harkless"
TOR,"Victor Oladipo"
TOR,"Tim Hardaway Jr."
TOR,"Andrew Wiggins"
TOR,"Langston Galloway"
TOR,"Jahlil Okafor"
TOR,"Kelly Oubre"
TOR,"Buddy Hield"
TOR,"Dillon Brooks"
TOR,"Justin Jackson"
TOR,"Sindarius Thornwell"
UTA,"Kevin Love"
UTA,"Ersan Ilyasova"
UTA,"Darren Collison"
UTA,"Tyreke Evans"
UTA,"Patrick Beverley"
UTA,"Klay Thompson"
UTA,"Otto Porter"
UTA,"Allen Crabbe"
UTA,"Joe Harris"
UTA,"T.J. McConnell"
UTA,"Semi Ojeleye"
UTA,"Frank Ntilikina"
UTA,"Jerome Robinson"
WAS,"Amir Johnson"
WAS,"Kevin Durant"
WAS,"Wilson Chandler"
WAS,"Eric Gordon"
WAS,"J.J. Barea"
WAS,"John Wall"
WAS,"Isaiah Thomas"
WAS,"Jakarr Sampson"
WAS,"Nerlens Noel"
WAS,"Jusuf Nurkic"
WAS,"Rodney McGruder"
WAS,"D.J. Wilson"
WAS,"Walt Lemon"
