Chris Paul,Atlanta Hawks,G
Clint Capela,Atlanta Hawks,C
Jaylen Brown,Atlanta Hawks,FG
Ivica Zubac,Atlanta Hawks,C
Ja Morant,Atlanta Hawks,G
Rui Hachimura,Atlanta Hawks,F
PJ Washington,Atlanta Hawks,F
Darius Bazley,Atlanta Hawks,F
Oshae Brissett,Atlanta Hawks,F
Theo Maledon,Atlanta Hawks,G
Omer Yurtseven,Atlanta Hawks,C
Derrick Rose,Boston Celtics,G
Ish Smith,Boston Celtics,G
Isaiah Thomas,Boston Celtics,G
Hassan Whiteside,Boston Celtics,C
Nemanja Bjelica,Boston Celtics,FC
Dewayne Dedmon,Boston Celtics,C
Giannis Antetokounmpo,Boston Celtics,F
Kelly Oubre Jr.,Boston Celtics,F
Derrick Jones Jr.,Boston Celtics,F
Lonzo Ball,Boston Celtics,G
Harry Giles III,Boston Celtics,C
Kendrick Nunn,Boston Celtics,G
DeAndre Jordan,Brooklyn Nets,C
Brook Lopez,Brooklyn Nets,C
Draymond Green,Brooklyn Nets,FC
Dorian Finney-Smith,Brooklyn Nets,F
Dillon Brooks,Brooklyn Nets,FG
DeAaron Fox,Brooklyn Nets,G
Zach Collins,Brooklyn Nets,CF
Derrick White,Brooklyn Nets,G
Yuta Watanabe,Brooklyn Nets,FG
Jordan Poole,Brooklyn Nets,G
Sekou Doumbouya,Brooklyn Nets,F
Juan Toscano-Anderson,Brooklyn Nets,F
Anthony Edwards,Brooklyn Nets,G
Mfiondu Kabengele,Brooklyn Nets,FC
Bradley Beal,Charlotte Hornets,G
Dante Exum,Charlotte Hornets,G
T.J. Warren,Charlotte Hornets,F
Dwight Powell,Charlotte Hornets,CF
Larry Nance Jr.,Charlotte Hornets,CF
Norman Powell,Charlotte Hornets,GF
Jakob Poeltl,Charlotte Hornets,C
Kyle Kuzma,Charlotte Hornets,F
Frank Ntilikina,Charlotte Hornets,G
Terance Mann,Charlotte Hornets,F
Bruno Fernando,Charlotte Hornets,C
Isaiah Joe,Charlotte Hornets,G
Kira Lewis Jr.,Charlotte Hornets,G
